time,open,high,low,close,tick_volume,spread,real_volume
2022-12-05 09:15:00,1798.49,1801.02,1798.48,1800.77,2493,17,0
2022-12-05 09:30:00,1800.72,1801.71,1798.87,1798.99,2877,17,0
2022-12-05 09:45:00,1799.0,1799.85,1797.62,1799.83,4274,17,0
2022-12-05 10:00:00,1799.83,1800.51,1797.77,1798.89,5315,17,0
2022-12-05 10:15:00,1798.89,1799.36,1797.16,1797.17,4921,17,0
2022-12-05 10:30:00,1797.18,1798.88,1796.73,1797.19,3047,17,0
2022-12-05 10:45:00,1797.19,1798.07,1797.01,1797.72,3416,17,0
2022-12-05 11:00:00,1797.71,1797.94,1795.72,1797.76,3619,17,0
2022-12-05 11:15:00,1797.76,1798.93,1797.27,1797.72,3312,17,0
2022-12-05 11:30:00,1797.67,1797.67,1795.03,1796.46,3191,17,0
2022-12-05 11:45:00,1796.48,1797.23,1796.0,1796.75,2912,17,0
2022-12-05 12:00:00,1796.75,1797.42,1795.55,1796.89,2745,17,0
2022-12-05 12:15:00,1796.87,1796.95,1793.92,1794.46,3917,17,0
2022-12-05 12:30:00,1794.41,1795.67,1793.18,1795.47,3742,17,0
2022-12-05 12:45:00,1795.47,1796.22,1794.85,1795.07,2293,17,0
2022-12-05 13:00:00,1795.12,1796.34,1793.8,1796.08,2558,17,0
2022-12-05 13:15:00,1796.08,1796.44,1794.78,1794.84,2373,17,0
2022-12-05 13:30:00,1794.85,1795.32,1794.22,1794.52,2041,17,0
2022-12-05 13:45:00,1794.53,1795.98,1793.74,1793.8,3765,17,0
2022-12-05 14:00:00,1793.84,1795.52,1793.49,1795.06,3324,17,0
2022-12-05 14:15:00,1795.07,1795.49,1794.18,1794.73,2805,17,0
2022-12-05 14:30:00,1794.72,1794.9,1793.82,1794.83,3109,17,0
2022-12-05 14:45:00,1794.83,1797.92,1794.82,1797.83,3547,17,0
2022-12-05 15:00:00,1797.84,1798.38,1795.57,1796.23,6101,17,0
2022-12-05 15:15:00,1796.23,1797.59,1795.02,1795.22,5848,17,0
2022-12-05 15:30:00,1795.24,1795.91,1792.78,1793.24,5211,17,0
2022-12-05 15:45:00,1793.3,1793.66,1790.84,1792.57,6689,17,0
2022-12-05 16:00:00,1792.57,1793.32,1791.22,1791.61,5035,17,0
2022-12-05 16:15:00,1791.61,1792.7,1789.45,1789.83,5400,17,0
2022-12-05 16:30:00,1789.85,1791.49,1786.97,1788.25,9374,17,0
2022-12-05 16:45:00,1788.25,1788.78,1783.71,1783.85,9462,17,0
2022-12-05 17:00:00,1783.63,1783.78,1773.86,1773.94,21160,17,0
2022-12-05 17:15:00,1773.92,1776.05,1772.97,1774.63,11663,17,0
2022-12-05 17:30:00,1774.62,1778.04,1773.21,1777.56,10302,17,0
2022-12-05 17:45:00,1777.56,1778.1,1776.31,1777.87,7570,17,0
2022-12-05 18:00:00,1777.89,1779.37,1776.86,1778.16,5506,17,0
2022-12-05 18:15:00,1778.17,1778.31,1774.57,1776.81,5733,17,0
2022-12-05 18:30:00,1776.78,1776.99,1773.31,1773.52,4720,17,0
2022-12-05 18:45:00,1773.49,1774.01,1771.92,1773.24,3970,17,0
2022-12-05 19:00:00,1773.24,1773.26,1768.94,1769.69,4489,17,0
2022-12-05 19:15:00,1769.68,1771.15,1769.19,1770.43,3285,17,0
2022-12-05 19:30:00,1770.41,1770.78,1769.07,1770.07,2412,17,0
2022-12-05 19:45:00,1770.07,1770.44,1768.91,1769.75,2521,17,0
2022-12-05 20:00:00,1769.76,1770.08,1768.08,1769.97,2755,17,0
2022-12-05 20:15:00,1770.01,1770.29,1768.16,1769.25,2687,17,0
2022-12-05 20:30:00,1769.25,1769.88,1767.95,1768.12,2862,17,0
2022-12-05 20:45:00,1768.13,1768.22,1766.17,1766.68,2119,17,0
2022-12-05 21:00:00,1766.67,1767.17,1765.77,1767.08,1792,17,0
2022-12-05 21:15:00,1767.1,1767.48,1766.02,1766.65,2109,17,0
2022-12-05 21:30:00,1766.67,1766.88,1765.76,1766.57,1872,17,0
2022-12-05 21:45:00,1766.57,1768.22,1766.06,1768.07,1963,17,0
2022-12-05 22:00:00,1768.04,1768.88,1767.57,1768.7,2024,17,0
2022-12-05 22:15:00,1768.71,1768.71,1766.95,1767.61,2524,17,0
2022-12-05 22:30:00,1767.62,1767.77,1766.82,1767.58,2994,17,0
2022-12-05 22:45:00,1767.57,1767.98,1766.61,1766.61,3350,17,0
2022-12-05 23:00:00,1766.62,1768.08,1766.61,1767.89,1074,17,0
2022-12-05 23:15:00,1767.89,1768.21,1767.78,1768.11,613,17,0
2022-12-05 23:30:00,1768.09,1768.57,1767.94,1768.47,432,18,0
